"","Pollster","Start.Date","End.Date","Entry.Date.Time..ET.","Number.of.Observations","Population","Mode","Trump","Carson","Cruz","Rubio","Bush","Christie","Fiorina","Rand.Paul","Kasich","Huckabee","Jindal","Santorum","Graham","Pataki","Gilmore","Perry","Walker","Undecided","Pollster.URL","Source.URL","Partisan","Affiliation","polled_party","voter","date_time","compare_date"
"183","Wilson Perkins Allen Opinion Research (R)","2014-03-18","2014-03-20","2014-04-02 2000-01-01 15:54:27 UTC",801,"Adults - Republican","Live Phone",NA,NA,9,6,11,9,NA,13,NA,13,3,3,NA,NA,NA,1,5,20,"http://elections.huffingtonpost.com/pollster/polls/wilson-perkins-allen-opinion-research-r-19164","http://www.wparesearch.com/uncategorized/wpas-2016-national-presidential-survey-and-media-apperances/","Pollster","Rep","Republican","Adults","2014-04-02 15:54:27","1396479267"
"184","CNN","2014-03-07","2014-03-09","2014-03-19 2000-01-01 15:14:56 UTC",367,"Adults - Republican","Live Phone",NA,NA,8,5,9,8,NA,16,NA,10,NA,3,NA,NA,NA,11,NA,9,"http://elections.huffingtonpost.com/pollster/polls/cnn-19073","http://i2.cdn.turner.com/cnn/2014/images/03/17/rel4e.pdf","Nonpartisan","None","Republican","Adults","2014-03-19 15:14:56","1395267296"
"185","PPP (D)","2014-03-06","2014-03-09","2014-03-14 2000-01-01 16:16:21 UTC",542,"Likely Voters - Republican","Automated Phone",NA,NA,11,6,15,14,NA,14,NA,18,4,NA,NA,NA,NA,NA,5,9,"http://elections.huffingtonpost.com/pollster/polls/ppp-d-19043","http://www.publicpolicypolling.com/pdf/2014/PPP_Release_National_314.pdf","Pollster","Dem","Republican","Likely Voters","2014-03-14 16:16:21","1394838981"
"186","McClatchy/Marist","2014-02-04","2014-02-09","2014-02-11 2000-01-01 21:03:53 UTC",403,"Registered Voters - Republican","Live Phone",NA,NA,5,12,8,13,NA,9,1,13,NA,2,NA,NA,NA,2,7,12,"http://elections.huffingtonpost.com/pollster/polls/mcclatchy-marist-18838","http://maristpoll.marist.edu/wp-content/misc/usapolls/us140203/2016/Complete%20February%2012,%202014%20USA%20McClatchy_Marist%20Poll%20Release%20and%20Tables.pdf","Nonpartisan","None","Republican","Registered Voters","2014-02-11 21:03:53","1392181433"
"187","CNN","2014-01-31","2014-02-02","2014-02-04 2000-01-01 15:44:53 UTC",428,"Adults - Republican","Live Phone",NA,NA,8,9,10,10,NA,13,NA,14,NA,4,NA,NA,NA,8,NA,7,"http://elections.huffingtonpost.com/pollster/polls/cnn-18783","http://i2.cdn.turner.com/cnn/2014/images/02/04/rel3a.pdf","Nonpartisan","None","Republican","Adults","2014-02-04 15:44:53","1391557493"
"188","PPP (D)","2014-01-23","2014-01-26","2014-01-29 2000-01-01 17:01:44 UTC",457,"Likely Voters - Republican","Automated Phone",NA,NA,8,8,14,13,NA,11,NA,16,5,NA,NA,NA,NA,NA,6,10,"http://elections.huffingtonpost.com/pollster/polls/ppp-d-18741","http://www.publicpolicypolling.com/pdf/2014/PPP_Release_National_129.pdf","Pollster","Dem","Republican","Likely Voters","2014-01-29 17:01:44","1391043704"
"189","ABC/Post","2014-01-20","2014-01-23","2014-01-30 2000-01-01 16:35:35 UTC",NA,"Registered Voters - Republican","Live Phone",NA,NA,12,10,18,13,NA,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,14,"http://elections.huffingtonpost.com/pollster/polls/abc-post-18754","http://www.washingtonpost.com/page/2010-2019/WashingtonPost/2014/01/30/National-Politics/Polling/release_290.xml","Nonpartisan","None","Republican","Registered Voters","2014-01-30 16:35:35","1391128535"
"190","Quinnipiac","2014-01-15","2014-01-19","2014-01-21 2000-01-01 19:08:29 UTC",813,"Registered Voters - Republican","Live Phone",NA,NA,9,8,11,12,NA,13,2,NA,3,NA,NA,NA,NA,NA,6,23,"http://elections.huffingtonpost.com/pollster/polls/quinnipiac-18703","http://www.quinnipiac.edu/institutes-and-centers/polling-institute/national/release-detail?ReleaseID=1998","Nonpartisan","None","Republican","Registered Voters","2014-01-21 19:08:29","1390360109"
"191","NBC/Marist","2014-01-12","2014-01-14","2014-01-16 2000-01-01 16:58:47 UTC",385,"Registered Voters - Republican","Live Phone",NA,NA,5,7,8,16,NA,9,NA,NA,3,5,NA,NA,NA,6,4,25,"http://elections.huffingtonpost.com/pollster/polls/nbc-marist-18679","http://msnbcmedia.msn.com/i/MSNBC/Sections/A_Politics/_Today_Stories_Teases/ChristiePoll.pdf","Nonpartisan","None","Republican","Registered Voters","2014-01-16 16:58:47","1389920327"
"192","YouGov/Economist","2014-01-11","2014-01-13","2014-01-16 2000-01-01 17:36:06 UTC",210,"Adults - Republican","Internet",NA,NA,8,12,14,18,NA,6,NA,16,NA,NA,NA,NA,NA,NA,5,10,"http://elections.huffingtonpost.com/pollster/polls/yougov-economist-18681","http://d25d2506sfb94s.cloudfront.net/cumulus_uploads/document/l9ed6s82hh/econToplines.pdf","Nonpartisan","None","Republican","Adults","2014-01-16 17:36:06","1389922566"
"193","FOX","2013-12-14","2013-12-16","2013-12-18 2000-01-01 23:35:41 UTC",376,"Registered Voters - Republican","Live Phone",NA,NA,12,8,12,16,NA,11,NA,NA,NA,3,NA,NA,NA,3,6,11,"http://elections.huffingtonpost.com/pollster/polls/fox-18575","http://www.foxnews.com/politics/interactive/2013/12/26/fox-news-poll-clinton-christie-on-top-in-2016-preference-test/","Nonpartisan","None","Republican","Registered Voters","2013-12-18 23:35:41","1387438541"
"194","YouGov/Economist","2013-12-14","2013-12-16","2013-12-18 2000-01-01 21:13:07 UTC",274,"Adults - Republican","Internet",NA,NA,7,6,7,18,NA,13,NA,13,NA,NA,NA,NA,NA,NA,7,15,"http://elections.huffingtonpost.com/pollster/polls/yougov-economist-18573","http://d25d2506sfb94s.cloudfront.net/cumulus_uploads/document/m8yqd2wrtk/econToplines.pdf","Nonpartisan","None","Republican","Adults","2013-12-18 21:13:07","1387429987"
"195","PPP (D)","2013-12-12","2013-12-15","2013-12-18 2000-01-01 19:09:04 UTC",600,"Likely Voters - Republican","Automated Phone",NA,NA,14,7,10,19,NA,11,NA,13,3,NA,NA,NA,NA,NA,4,10,"http://elections.huffingtonpost.com/pollster/polls/ppp-d-18568","http://www.publicpolicypolling.com/pdf/2013/PPP_Release_National_1218.pdf","Pollster","Dem","Republican","Likely Voters","2013-12-18 19:09:04","1387422544"
"196","Quinnipiac","2013-12-03","2013-12-09","2013-12-11 2000-01-01 23:45:55 UTC",1182,"Registered Voters - Republican","Live Phone",NA,NA,13,7,11,17,NA,14,2,NA,3,NA,NA,NA,NA,NA,5,18,"http://elections.huffingtonpost.com/pollster/polls/quinnipiac-18519","http://www.quinnipiac.edu/institutes-and-centers/polling-institute/national/release-detail?ReleaseID=1988","Nonpartisan","None","Republican","Registered Voters","2013-12-11 23:45:55","1386834355"
"197","McClatchy/Marist","2013-12-03","2013-12-05","2013-12-13 2000-01-01 20:40:55 UTC",419,"Registered Voters - Republican","Live Phone",NA,NA,10,7,10,18,NA,12,NA,NA,NA,4,NA,NA,NA,3,4,13,"http://elections.huffingtonpost.com/pollster/polls/mcclatchy-marist-18533","http://maristpoll.marist.edu/wp-content/misc/usapolls/us131203/2016/Complete%20December%2011,%202013%20USA%20McClatchy-Marist%20Poll%20Release%20and%20Tables.pdf","Nonpartisan","None","Republican","Registered Voters","2013-12-13 20:40:55","1386996055"
"198","CNN","2013-11-18","2013-11-20","2013-12-02 2000-01-01 23:40:55 UTC",418,"Adults - Republican","Live Phone",NA,NA,10,9,6,24,NA,13,NA,NA,NA,6,NA,NA,NA,7,NA,8,"http://elections.huffingtonpost.com/pollster/polls/cnn-18475","http://i2.cdn.turner.com/cnn/2013/images/11/29/cnn.orc.poll.2016.pdf","Nonpartisan","None","Republican","Adults","2013-12-02 23:40:55","1386056455"
"199","PPP (D)","2013-10-29","2013-10-31","2013-11-05 2000-01-01 19:40:43 UTC",629,"Likely Voters - Republican","Automated Phone",NA,NA,14,9,12,15,NA,13,NA,NA,5,4,NA,NA,NA,NA,NA,12,"http://elections.huffingtonpost.com/pollster/polls/ppp-d-18368","http://www.publicpolicypolling.com/pdf/2013/PPP_Release_US_110513.pdf","Pollster","Dem","Republican","Likely Voters","2013-11-05 19:40:43","1383709243"
"200","YouGov/Economist","2013-10-26","2013-10-28","2013-10-30 2000-01-01 22:37:44 UTC",221,"Adults - Republican","Internet",NA,NA,12,4,4,20,NA,7,NA,NA,NA,NA,NA,NA,NA,NA,5,35,"http://elections.huffingtonpost.com/pollster/polls/yougov-economist-18325","http://d25d2506sfb94s.cloudfront.net/cumulus_uploads/document/i4pkgb3edc/econToplines.pdf","Nonpartisan","None","Republican","Adults","2013-10-30 22:37:44","1383197864"
"201","YouGov","2013-10-19","2013-10-20","2013-12-13 2000-01-01 20:17:20 UTC",228,"Adults - Republican","Internet",NA,NA,16,13,12,11,NA,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,24,"http://elections.huffingtonpost.com/pollster/polls/yougov-18532","https://today.yougov.com/news/2013/10/22/ted-cruz/","Nonpartisan","None","Republican","Adults","2013-12-13 20:17:20","1386994640"
"202","YouGov","2013-09-30","2013-10-01","2013-12-13 2000-01-01 20:14:16 UTC",243,"Adults - Republican","Internet",NA,NA,16,9,9,14,NA,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,25,"http://elections.huffingtonpost.com/pollster/polls/yougov-18531","http://cdn.yougov.com/cumulus_uploads/document/ovdt4dpag0/tabs_OPI_2016primaries_20131002.pdf","Nonpartisan","None","Republican","Adults","2013-12-13 20:14:16","1386994456"
"203","Quinnipiac","2013-09-23","2013-09-29","2013-10-02 2000-01-01 17:17:47 UTC",576,"Registered Voters - Republican","Live Phone",NA,NA,10,12,11,13,NA,17,NA,NA,3,NA,NA,NA,NA,NA,4,20,"http://elections.huffingtonpost.com/pollster/polls/quinnipiac-18116","http://www.quinnipiac.edu/institutes-and-centers/polling-institute/national/release-detail?ReleaseID=1959","Nonpartisan","None","Republican","Registered Voters","2013-10-02 17:17:47","1380759467"
"204","PPP (D)","2013-09-25","2013-09-26","2013-09-27 2000-01-01 16:12:20 UTC",743,"Likely Voters - Republican","Automated Phone",NA,NA,20,10,11,14,NA,17,NA,NA,4,3,NA,NA,NA,NA,3,9,"http://elections.huffingtonpost.com/pollster/polls/ppp-d-18088","http://www.publicpolicypolling.com/pdf/2013/PPP_Release_National_927.pdf","Pollster","Dem","Republican","Likely Voters","2013-09-27 16:12:20","1380323540"
"205","CNN","2013-09-06","2013-09-08","2013-09-16 2000-01-01 19:48:33 UTC",452,"Adults - Republican","Live Phone",NA,NA,7,9,10,17,NA,13,NA,NA,NA,5,NA,NA,NA,6,NA,10,"http://elections.huffingtonpost.com/pollster/polls/cnn-17953","http://i2.cdn.turner.com/cnn/2013/images/09/16/2016poll.pdf","Nonpartisan","None","Republican","Adults","2013-09-16 19:48:33","1379386113"
"206","Rasmussen","2013-08-01","2013-08-02","2013-08-07 2000-01-01 15:08:32 UTC",330,"Likely Voters - Republican","Automated Phone",NA,NA,NA,18,16,21,NA,15,NA,NA,NA,NA,NA,NA,NA,NA,6,8,"http://elections.huffingtonpost.com/pollster/polls/rasmussen-17784","http://www.rasmussenreports.com/public_content/politics/elections/election_2016/christie_is_candidate_gop_voters_want_least_as_their_2016_nominee","Nonpartisan","None","Republican","Likely Voters","2013-08-07 15:08:32","1375913312"
"207","PPP (D)","2013-07-19","2013-07-21","2013-07-26 2000-01-01 20:22:53 UTC",500,"Likely Voters - Republican","Automated Phone",NA,NA,12,10,13,13,NA,16,NA,NA,4,4,NA,NA,NA,NA,NA,13,"http://elections.huffingtonpost.com/pollster/polls/ppp-d-17738","http://www.publicpolicypolling.com/pdf/2011/PPP_Release_National_725.pdf","Pollster","Dem","Republican","Likely Voters","2013-07-26 20:22:53","1374895373"
"208","McClatchy/Marist","2013-07-15","2013-07-18","2013-07-26 2000-01-01 19:50:20 UTC",357,"Registered Voters - Republican","Live Phone",NA,NA,7,12,10,15,NA,9,NA,NA,1,2,NA,NA,NA,4,2,25,"http://elections.huffingtonpost.com/pollster/polls/mcclatchy-marist-17737","http://maristpoll.marist.edu/wp-content/misc/usapolls/us130715/Campaign%202016/Complete%20July%2024,%202013%20USA%20McClatchy-Marist%20Poll%20Results%20and%20Tables.pdf","Nonpartisan","None","Republican","Registered Voters","2013-07-26 19:50:20","1374893420"
"209","YouGov/Economist","2013-07-13","2013-07-15","2013-07-17 2000-01-01 18:54:51 UTC",270,"Adults - Republican","Internet",NA,NA,NA,8,12,11,NA,12,NA,NA,2,4,NA,NA,NA,5,2,24,"http://elections.huffingtonpost.com/pollster/polls/yougov-economist-17693","http://cdn.yougov.com/cumulus_uploads/document/plebg2r3k8/20130715econToplines.pdf","Nonpartisan","None","Republican","Adults","2013-07-17 18:54:51","1374112491"
"210","YouGov/Economist","2013-07-06","2013-07-08","2013-07-10 2000-01-01 18:12:55 UTC",253,"Adults - Republican","Internet",NA,NA,NA,12,9,8,NA,12,NA,NA,5,4,NA,NA,NA,NA,NA,NA,"http://elections.huffingtonpost.com/pollster/polls/yougov-economist-17651","http://cdn.yougov.com/cumulus_uploads/document/gstmy2b6e8/20130708econToplines.pdf","Nonpartisan","None","Republican","Adults","2013-07-10 18:12:55","1373505175"
"211","YouGov/Economist","2013-06-29","2013-07-01","2013-07-03 2000-01-01 18:06:01 UTC",257,"Adults - Republican","Internet",NA,NA,NA,10,11,9,NA,12,NA,NA,4,6,NA,NA,NA,NA,NA,26,"http://elections.huffingtonpost.com/pollster/polls/yougov-economist-17634","http://d25d2506sfb94s.cloudfront.net/cumulus_uploads/document/0rd3x7rgj2/20130701econToplines.pdf","Nonpartisan","None","Republican","Adults","2013-07-03 18:06:01","1372899961"
"212","YouGov/Economist","2013-06-22","2013-06-24","2013-06-26 2000-01-01 20:29:28 UTC",248,"Adults - Republican","Internet",NA,NA,NA,14,9,11,NA,11,NA,NA,1,4,NA,NA,NA,NA,NA,32,"http://elections.huffingtonpost.com/pollster/polls/yougov-economist-17606","http://cdn.yougov.com/cumulus_uploads/document/z9pr64pqs6/Economist%20Toplines%20June%2024%202013.pdf","Nonpartisan","None","Republican","Adults","2013-06-26 20:29:28","1372303768"
"213","YouGov/Economist","2013-06-15","2013-06-17","2013-06-19 2000-01-01 18:35:43 UTC",262,"Adults - Republican","Internet",NA,NA,NA,11,9,13,NA,16,NA,NA,2,3,NA,NA,NA,NA,NA,28,"http://elections.huffingtonpost.com/pollster/polls/yougov-economist-17574","http://cdn.yougov.com/cumulus_uploads/document/etf70dw36d/20130615econToplines.pdf","Nonpartisan","None","Republican","Adults","2013-06-19 18:35:43","1371692143"
"214","YouGov/Economist","2013-06-08","2013-06-10","2013-06-12 2000-01-01 17:30:15 UTC",264,"Adults - Republican","Internet",NA,NA,NA,9,7,12,NA,13,NA,NA,1,4,NA,NA,NA,NA,NA,33,"http://elections.huffingtonpost.com/pollster/polls/yougov-economist-17529","http://cdn.yougov.com/cumulus_uploads/document/iqn03vbeyl/20130610econToplines.pdf","Nonpartisan","None","Republican","Adults","2013-06-12 17:30:15","1371083415"
"215","YouGov/Economist","2013-06-01","2013-06-03","2013-06-05 2000-01-01 17:30:05 UTC",246,"Adults - Republican","Internet",NA,NA,NA,9,8,9,NA,13,NA,NA,3,1,NA,NA,NA,NA,NA,31,"http://elections.huffingtonpost.com/pollster/polls/yougov-economist-17491","http://d25d2506sfb94s.cloudfront.net/cumulus_uploads/document/08eqj3n0pn/20130601econToplines.pdf","Nonpartisan","None","Republican","Adults","2013-06-05 17:30:05","1370478605"
"216","PPP (D)","2013-05-06","2013-05-09","2013-05-15 2000-01-01 16:18:48 UTC",806,"Likely Voters - Republican","Automated Phone",NA,NA,7,16,15,15,NA,14,NA,NA,3,5,NA,NA,NA,NA,NA,15,"http://elections.huffingtonpost.com/pollster/polls/ppp-d-17399","http://www.publicpolicypolling.com/pdf/2011/PPP_Release_National_515Final.pdf","Pollster","Dem","Republican","Likely Voters","2013-05-15 16:18:48","1368659928"
"217","Quinnipiac","2013-03-26","2013-04-01","2013-04-03 2000-01-01 12:38:02 UTC",712,"Registered Voters - Republican","Live Phone",NA,NA,NA,19,10,14,NA,15,NA,NA,3,NA,NA,NA,NA,NA,2,18,"http://elections.huffingtonpost.com/pollster/polls/quinnipiac-17216","http://www.quinnipiac.edu/institutes-centers/polling-institute/national/release-detail?ReleaseID=1876","Nonpartisan","None","Republican","Registered Voters","2013-04-03 12:38:02","1365017882"
"218","PPP (D)","2013-03-27","2013-03-30","2013-04-04 2000-01-01 16:22:12 UTC",1125,"Likely Voters - Republican","Automated Phone",NA,NA,NA,21,12,15,NA,17,NA,NA,4,5,NA,NA,NA,2,NA,10,"http://elections.huffingtonpost.com/pollster/polls/ppp-d-17222","http://www.publicpolicypolling.com/pdf/2011/PPP_Release_4313.pdf","Pollster","Dem","Republican","Likely Voters","2013-04-04 16:22:12","1365117732"
"219","YouGov/Economist","2013-02-23","2013-02-25","2013-02-27 2000-01-01 18:13:26 UTC",245,"Adults - Republican","Internet",NA,NA,NA,17,9,12,NA,4,NA,NA,1,2,NA,NA,NA,1,NA,24,"http://elections.huffingtonpost.com/pollster/polls/yougov-economist-17087","http://cdn.yougov.com/cumulus_uploads/document/x88q6cjkbv/20130223-econToplines.pdf","Nonpartisan","None","Republican","Adults","2013-02-27 18:13:26","1362017606"
"220","YouGov/Economist","2013-02-16","2013-02-18","2013-02-22 2000-01-01 16:49:10 UTC",201,"Adults - Republican","Internet",NA,NA,NA,19,3,12,NA,4,NA,NA,2,1,NA,NA,NA,2,NA,35,"http://elections.huffingtonpost.com/pollster/polls/yougov-economist-17064","http://cdn.yougov.com/cumulus_uploads/document/fcd3s0ow27/20130216Toplines.pdf","Nonpartisan","None","Republican","Adults","2013-02-22 16:49:10","1361580550"
"221","PPP (D)","2013-01-31","2013-02-03","2013-02-07 2000-01-01 20:34:59 UTC",508,"Likely Voters - Republican","Automated Phone",NA,NA,NA,22,13,13,NA,10,NA,11,4,NA,NA,NA,NA,3,NA,8,"http://elections.huffingtonpost.com/pollster/polls/ppp-d-16996","http://www.publicpolicypolling.com/pdf/2011/PPP_Release_National_207.pdf","Pollster","Dem","Republican","Likely Voters","2013-02-07 20:34:59","1360298099"
"222","PPP (D)","2013-01-31","2013-02-03","2014-03-24 2000-01-01 20:23:45 UTC",508,"Likely Voters - Republican","Automated Phone",NA,NA,NA,22,13,13,NA,10,NA,11,4,NA,NA,NA,NA,3,NA,8,"http://elections.huffingtonpost.com/pollster/polls/ppp-d-19115","http://www.publicpolicypolling.com/pdf/2011/PPP_Release_National_207.pdf","Pollster","Dem","Republican","Likely Voters","2014-03-24 20:23:45","1395717825"
"223","YouGov/Economist","2013-01-19","2013-01-21","2013-02-01 2000-01-01 18:34:41 UTC",253,"Adults - Republican","Internet",NA,NA,NA,22,7,9,NA,3,NA,NA,1,7,NA,NA,NA,2,NA,29,"http://elections.huffingtonpost.com/pollster/polls/yougov-economist-16964","http://cdn.yougov.com/cumulus_uploads/document/d3ms2sphnu/20130119econTabReport.pdf","Nonpartisan","None","Republican","Adults","2013-02-01 18:34:41","1359772481"
"224","YouGov/Economist","2013-01-12","2013-01-14","2013-02-01 2000-01-01 17:14:07 UTC",273,"Adults - Republican","Internet",NA,NA,NA,16,6,11,NA,3,NA,NA,3,4,NA,NA,NA,2,NA,30,"http://elections.huffingtonpost.com/pollster/polls/yougov-economist-16963","http://cdn.yougov.com/cumulus_uploads/document/h9rwppzi83/20130112_econTabReport.pdf","Nonpartisan","None","Republican","Adults","2013-02-01 17:14:07","1359767647"
"225","PPP (D)","2013-01-03","2013-01-06","2013-01-08 2000-01-01 12:08:17 UTC",563,"Likely Voters - Republican","Automated Phone",NA,NA,NA,21,14,14,NA,5,NA,15,3,NA,NA,NA,NA,2,NA,7,"http://elections.huffingtonpost.com/pollster/polls/ppp-d-16866","http://www.publicpolicypolling.com/pdf/2011/PPP_Release_National_011013.pdf","Pollster","Dem","Republican","Likely Voters","2013-01-08 12:08:17","1357675697"
"226","PPP (D)","2012-11-30","2012-12-02","2012-12-06 2000-01-01 16:31:37 UTC",475,"Registered Voters - Republican","Automated Phone",NA,NA,NA,18,12,14,NA,7,NA,11,NA,4,NA,NA,NA,NA,NA,7,"http://elections.huffingtonpost.com/pollster/polls/ppp-d-16784","http://www.publicpolicypolling.com/pdf/2011/PPP_Release_National_1206.pdf","Pollster","Dem","Republican","Registered Voters","2012-12-06 16:31:37","1354840297"
